Subject,Condition,Optode,MeanAcrossBlocksHbO,MedianAcrossBlocksHbO,AUCHbO,MaximumHbO,RobustPeakHbO95
4,1,3,-0.0180527135210125,-0.026521264652523,-1.06622040350629,0.117837538580401,0.103071499726094
4,1,4,-0.00645013481208345,-0.00556957857463273,-0.382727743104892,0.0985517878308927,0.0864215313729007
4,1,5,-0.0233883282932071,-0.0171660303921351,-1.38161934220653,0.102694450348568,0.0941030427497577
4,1,6,-0.0345586319255678,-0.0212374900283008,-2.03853554942189,0.118483212712418,0.103135248834188
4,1,7,-0.00126368150898878,-0.00843239811419848,-0.0756040665016047,0.122000195064429,0.110058731401129
4,1,8,-0.0249311203629247,-0.0284131496711319,-1.47231529083033,0.102881883749579,0.0892116981788526
4,1,9,-0.0178783049288024,-0.0260573746806578,-1.05545796062964,0.104522811999163,0.0927329984123142
4,1,10,-0.0261378488374578,-0.0217597962132525,-1.54300198171624,0.0747338558156124,0.0672254397888606
4,1,11,-0.0166965118138725,-0.00225030009772885,-0.985686223532855,0.124354479477778,0.105804867421988
4,1,12,-0.0325134074244579,-0.0558430352011266,-1.91904220893269,0.103112250430501,0.0878884136815245
4,1,13,-0.0195637457909544,-0.0109935009701872,-1.15753600822002,0.145363484008408,0.127271883854267
4,1,14,-0.0247326037274502,-0.0387557665594161,-1.46112797939525,0.114973793653031,0.0992229460849491
4,1,15,-0.0378095689586809,-0.0486929859548865,-2.23108916509637,0.0801182507014216,0.0683750373622756
4,1,16,-0.0231270757553578,-0.0359945138437356,-1.36493561289207,0.11511680681428,0.101413692237265
4,2,1,-0.00682635805647354,0.0161373581978675,-0.404957353827003,0.107494805138457,0.0969282859988004
4,2,2,0.0399901794238817,0.03004043491341,2.35811259889876,0.169317767850461,0.156810568321817
4,2,3,-0.0531737215525444,-0.05238758749706,-3.14162087759552,0.107624386497644,0.0815302922062768
4,2,4,-0.0438391366408818,-0.0275064830207859,-2.58940199927821,0.118097170837611,0.0885417082110947
4,2,5,-0.0535377220884305,-0.0562458194639078,-3.16476764425647,0.110402644054875,0.0849873637423469
4,2,6,-0.0140242010024524,-0.0197123390600873,-0.834419123508108,0.17328311386785,0.146544755479829
4,2,7,-0.0610411850985667,-0.0417415578709878,-3.60611708093856,0.137364582932683,0.115384598585255
4,2,8,-0.0953915657897242,-0.0319084408202318,-5.63073205208632,0.116241180859643,0.0840900977587892
4,2,9,-0.0491495579694765,-0.0278739172783066,-2.90235121818047,0.0719222927350977,0.0522418307362339
4,2,10,-0.087129235874122,-0.0353679851512506,-5.14235508339272,0.0699023897275281,0.0589469947322893
4,2,11,-0.0102886203938745,-0.0319567458795364,-0.618025967779438,0.131039683037053,0.111478529971641
4,2,12,-0.00654422722934373,0.0053444300460681,-0.39304500062362,0.154010533745818,0.129190902432585
4,2,13,-0.135255658129936,-0.094878368081485,-7.98182270842369,0.167135013016688,0.126319739648336
4,2,14,-0.0932230789860611,-0.035766926404563,-5.50090635112224,0.0817860987051048,0.0508636110761887
