Subject,Block,Condition,Optode,NonFiniteSampleCount,NonPositiveSampleCount,BaselineCV730,BaselineCV850,AmbientToSignalRatio,AmbientCorrelation730,AmbientCorrelation850,MotionCandidateFraction,MathematicallyValidChannel
3,9,2,1,0,0,0.000120930867166786,0.00272275673491321,0.244161301099685,0.393977106332289,-0.00672856916920807,0,1
3,9,2,2,0,0,0.00049523640067542,0.00207841244196984,0.0845531726253958,0.309556355009358,0.139403077744749,0,1
3,9,2,3,0,0,0.00044885332089251,0.00337492721115718,0.085217306302364,0.308256095304195,-0.406380735990699,0,1
3,9,2,4,0,0,0.000361987978129054,0.00303073632382584,0.0669542383430284,0.498489901791826,0.60025353765887,0,1
3,9,2,5,0,0,0.00132739822077136,0.00439188972526346,0.0487122670425333,-0.242778200946119,-0.307559755689528,0,1
3,9,2,6,0,0,0.00120888717451326,0.00381548821832575,0.0730265233601272,0.329715734182642,0.753227960119406,0,1
3,9,2,7,0,0,0.000775439157020731,0.00410852548344554,0.103109671425067,NaN,NaN,0,1
3,9,2,8,0,0,0.00178395438586683,0.00536557097047752,0.0876306805324786,-0.183733823924832,0.296232270512937,0,1
3,9,2,9,0,0,0.000790112334134586,0.00466492456603259,0.0772937558326379,-0.310224451807006,0.216753477867459,0,1
3,9,2,10,0,0,0.000455301490191607,0.00395521232373262,0.0706974119230297,-0.198882272760451,0.41195543611346,0,1
3,9,2,11,0,0,0.000495093165797122,0.00387794160773082,0.0686181336874997,0.0232191757619026,-0.292271220623795,0,1
3,9,2,12,0,0,0.000854122530372707,0.00305796604903453,0.0823425573973568,0.509967801654154,0.51442147567626,0,1
3,9,2,13,0,0,0.00115944327732621,0.00414364400220761,0.0811736802064383,0.227986587157678,0.252293387514275,0,1
3,9,2,14,0,0,0.00141319616491996,0.00370563266808529,0.0593820715506476,-0.169417977625432,0.0906205358624203,0,1
3,9,2,15,0,0,0.000410274066621871,0.00209727114499104,0.2156949779117,-0.240728650704654,-0.262032000083629,0,1
3,9,2,16,0,0,0.000466465377192748,0.000175582300143715,0.0408030037506921,-0.159627641901337,-0.193447036793965,0,1
3,10,3,1,0,0,0.000946986715920986,0.00102083885512078,0.242280039120511,-0.181772395681492,-0.0983161117378107,0,1
3,10,3,2,0,0,0.00490142721573307,0.00496656556131594,0.0818451438844569,0.22648934293209,-0.300340158072503,0,1
3,10,3,3,0,0,0.000905790766639683,0.000939357884743348,0.0860963351397741,-0.0356394263836036,0.571352128109889,0,1
3,10,3,4,0,0,0.000886808888930439,0.000188529635185525,0.0691496105383021,0.831080287684129,0.765844138170695,0,1
3,10,3,5,0,0,0.00103215029246438,0.00249138675596576,0.0474055251027809,0.209569306809882,0.481070210709132,0,1
3,10,3,6,0,0,0.000481023748531413,0.00147437081288828,0.072141132842224,0.669974056476973,0.699768220174618,0,1
3,10,3,7,0,0,0.000229074616879011,0.00159522467719121,0.0955945107249983,-0.235928685764752,-0.0664303253155814,0,1
3,10,3,8,0,0,0.00292602026166694,0.00167487864735857,0.0923683075905478,0.223587998297489,0.519736391439245,0,1
3,10,3,9,0,0,0.00146314070091923,0.00543020094549615,0.0805613828656028,0.360010467600851,0.445366925136407,0,1
3,10,3,10,0,0,0.00144338397736238,0.00720919037229674,0.0723926042539102,0.254269621032179,-0.186225354589352,0,1
3,10,3,11,0,0,0.00185451338408788,0.00373804861391907,0.0698301018491573,0.326544102185258,0.228602923627294,0,1
3,10,3,12,0,0,0.00682192341815086,0.0111635546159509,0.0939761540451347,0.385205410452555,0.376833777815007,0,1
3,10,3,13,0,0,0.00101003872597678,0.00383613423788054,0.0809862610339757,-0.347713274458953,-0.25799187893314,0,1
3,10,3,14,0,0,0.00351935436130077,0.0118889815398613,0.068351844390526,0.293092148696593,0.430217906365401,0,1
3,10,3,15,0,0,0.000414446368011064,0.00392094974795736,0.225894459253421,0.723765252028085,0.503641356216606,0,1
3,10,3,16,0,0,0.0022502360827497,4.26610792589572e-05,0.0399501427494634,0.0167800071936465,-0.309221211890983,0,1
3,11,3,1,0,0,0.000114143303350584,0.000528081569505533,0.245081823677611,-0.0522607804005671,-0.0245341248799119,0,1
3,11,3,2,0,0,0.00041077297488015,0.00225502269247683,0.0853297770536148,0.896627844023104,0.866307108326977,0,1
3,11,3,3,0,0,5.79690530180865e-05,0.000324415193739791,0.0856841055019603,-0.368163293731052,-0.439169402462848,0,1
3,11,3,4,0,0,0.000335276968977239,0.00239835062440667,0.066006025884808,0.870439314724469,0.925930659172131,0,1
3,11,3,5,0,0,0.000372814650200098,0.000284503731432216,0.048238187637086,0.196491948894197,0.202889809896509,0,1
3,11,3,6,0,0,0.000413285777816461,0.00267263953005862,0.0729722453128185,0.707279489106605,0.847257926414932,0,1
3,11,3,7,0,0,0.00054901047273613,0.000739840010916289,0.101787012925685,NaN,NaN,0,1
3,11,3,8,0,0,0.000836154984464858,0.00161997387428583,0.0862109671801177,0.7874897932462,0.851112735263054,0,1
3,11,3,9,0,0,0.000575086296875486,0.00165450530592508,0.0779615539463068,0.557359755446462,0.576498911936706,0,1
3,11,3,10,0,0,0.000911622585900516,0.00226629419502283,0.0708758367722092,0.89629520254676,0.891077767292565,0,1
3,11,3,11,0,0,0.000415650017784541,0.00159669781140361,0.0695952360967719,0.108593319731852,0.325844512299104,0,1
3,11,3,12,0,0,0.000180851398199099,0.00282685974099158,0.0831034216439261,0.159761026835928,-0.226677840208103,0,1
3,11,3,13,0,0,0.000314075942634023,0.00055765896331117,0.0814158974617756,0.0424108881233325,0.231298688483665,0,1
3,11,3,14,0,0,0.00112034065165163,0.000987457652410671,0.0577064135127265,0.303949026561496,0.423045781438916,0,1
3,11,3,15,0,0,0.000595396363551495,0.000885821322749887,0.215456735759658,0.433234703106119,0.504976106025239,0,1
3,11,3,16,0,0,0.0014394251764869,0.000459395701941077,0.0406092139963359,0.29150154777779,-0.0813926448379452,0,1
3,12,3,1,0,0,0.0011201859361724,0.00109509951025405,0.243558362201667,-0.545761684726941,-0.27083949758667,0,1
3,12,3,2,0,0,0.00117173059647151,0.00254734885658752,0.084797535574392,0.515783824381367,0.764187696700581,0,1
3,12,3,3,0,0,0.00189031302633404,0.00252677575900829,0.0845291345879939,0.345150834369993,0.163390368291926,0,1
3,12,3,4,0,0,0.00193563006365215,0.00354377023645369,0.0641449576993995,-0.531253583625515,-0.527226663674375,0,1
3,12,3,5,0,0,0.000990265382350277,0.00409019989206749,0.0489218820919248,0.0759137164605408,0.21567480556968,0,1
3,12,3,6,0,0,0.000508388263930222,0.00396588855481495,0.0726748559926691,-0.0829159605029509,-0.0592763643541772,0,1
3,12,3,7,0,0,0.000940124276926734,0.00391836604045266,0.104207787369983,NaN,NaN,0,1
3,12,3,8,0,0,0.000499924191641677,0.00222407088664264,0.0853607486157772,-0.257778634699164,-0.184329357228253,0,1
3,12,3,9,0,0,0.000456246342148377,0.00214640532389321,0.0771077082277571,0.186780830457772,0.0770302724606308,0,1
3,12,3,10,0,0,0.00223847187632569,0.00373948966365624,0.0699066894455811,0.076587630343247,0.0614463275309265,0,1
3,12,3,11,0,0,0.00141762465492588,0.00220448550476264,0.0677554881929138,0.440819598774037,-0.115865843959759,0,1
3,12,3,12,0,0,0.00360130660282629,0.00497680375608439,0.0819306160745913,-0.332655404496829,-0.31588978065873,0,1
3,12,3,13,0,0,0.00215466812538564,0.003736284940614,0.0812198076049224,0.361179779064622,0.238168172874374,0,1
3,12,3,14,0,0,0.002173924548245,0.00479517771078322,0.059497321244368,-0.0620053999659306,-0.00102114872145179,0,1
3,12,3,15,0,0,0.0022135664251346,0.00373250984785428,0.213771535421698,0.0295125658829449,-0.0305447965021375,0,1
3,12,3,16,0,0,0.00177719380061649,0.00101327027182433,0.0408564399732166,0.751384355659154,0.127724572958352,0,1
4,4,1,1,0,0,0.000566925247519109,0.00333906466546085,0.327117650757402,0.0376068048786274,0.270660161885682,0,1
4,4,1,2,0,0,0.0024451616247632,0.00488502659578711,0.139639563588482,0.138457378487678,0.521411958699034,0,1
4,4,1,3,0,0,0.00107420270024528,0.00385117453868382,0.147243073217741,0.195113641712977,0.314919826028346,0,1
4,4,1,4,0,0,0.00245587560589112,0.00469274488928813,0.134251052257944,0.0889087947964373,0.013854781292339,0,1
4,4,1,5,0,0,0.000131550619843496,0.00386205110119856,0.0779203374828141,-0.186384436258713,-0.0192070490330582,0,1
4,4,1,6,0,0,0.0013310941122678,0.0048114639397562,0.124416030837445,0.208764343049035,-0.291486724055319,0,1
4,4,1,7,0,0,0.000180277005655826,0.00314091427999048,0.146166947584666,-0.230912914643395,0.0922710263808003,0,1
4,4,1,8,0,0,0.00235108781825162,0.00561838789102985,0.132518313103197,0.73891334171859,0.615605863491723,0,1
4,4,1,9,0,0,0.000841102002846671,0.00306707986462548,0.119061990412743,-0.529801999037432,0.292179659355418,0,1
4,4,1,10,0,0,0.000432075315983859,0.00467160564222707,0.102109882163278,-0.0839091155805096,0.306149304335967,0,1
4,4,1,11,0,0,0.000644989286866003,0.0041691410533062,0.0756350495652584,-0.0830206284825893,0.401096410488657,0,1
4,4,1,12,0,0,0.00081175563431944,0.00548074443594432,0.161095932716604,0.161050489695895,0.441296869323335,0,1
4,4,1,13,0,0,0.000661970863412966,0.00477834838658835,0.119374418376446,-0.500155182218391,0.0858146816607033,0,1
4,4,1,14,0,0,0.00113545216768225,0.00481731826769328,0.0952492008015106,-0.0501490003185867,-0.151259602223186,0,1
4,4,1,15,0,0,0.000335475565559116,0.0029732450238789,0.193334989052365,0.0714972614715795,0.110634864159445,0,1
4,4,1,16,0,0,0.000713856040026835,0.0041574564626153,0.198270641542983,0.354409466251087,0.778756639724582,0,1
4,5,1,1,0,0,0.00248530380828452,0.00501706056086101,0.317393175846525,0.43680543467468,0.466361270836784,0,1
4,5,1,2,0,0,0.00470127342924975,0.00460005366236444,0.141085056524737,0.551273860693575,0.477431677958973,0,1
4,5,1,3,0,0,0.00316118451450799,0.00581516671974247,0.144080082918865,0.56709188510212,0.406262776472959,0,1
4,5,1,4,0,0,0.00250643844147528,0.00518087406959702,0.134945165841313,-0.115544596191778,-0.533661756027404,0,1
4,5,1,5,0,0,0.00212086277093793,0.00493068960411089,0.0755850845287769,0.271103894280719,0.0705817115023641,0,1
4,5,1,6,0,0,0.0041117243409268,0.00806732881766408,0.117171055876295,-0.511635123802059,-0.466911739753837,0,1
4,5,1,7,0,0,0.00238423948267835,0.00671107814227467,0.147629078565161,0.247608016064969,0.217656723710748,0,1
4,5,1,8,0,0,0.00261914037032211,0.00609876812494075,0.130158928683799,-0.48423898725346,-0.524156353010495,0,1
4,5,1,9,0,0,0.000536305280568981,0.00548265130864872,0.118206767795357,0.499853487861913,0.244292813537749,0,1
4,5,1,10,0,0,0.000329714526653872,0.00529245591785345,0.10505017179321,-0.148738402440009,-0.501946276260363,0,1
4,5,1,11,0,0,0.00146629997585927,0.00759463292407717,0.0773588708083614,-0.340981631077496,-0.59475026546815,0,1
4,5,1,12,0,0,0.00373149071979654,0.0106961878696123,0.161168197687406,0.410631970027384,-0.677455982093028,0,1
4,5,1,13,0,0,0.000399111188172577,0.00599592301006478,0.125710340935088,-0.415547946228383,-0.433994245906666,0,1
4,5,1,14,0,0,0.00565636302921869,0.00939409949062868,0.0991806821462519,0.102509435533532,-0.600418678718339,0,1
4,5,1,15,0,0,0.00308263811556794,0.00631184608815953,0.206110080974045,-0.0166125490559677,-0.58537987867624,0,1
4,5,1,16,0,0,0.00492436586350794,0.00842838425631276,0.206473516920598,0.0840701738762937,-0.209644726686116,0,1
4,6,1,1,0,0,0.00103635800325226,0.00141871995466565,0.317088717866424,0.185887734698021,0.191415971733623,0,1
4,6,1,2,0,0,0.0134554402465954,0.0190024626684112,0.13815711300599,0.101482088693462,0.425238484501593,0.0390625,1
4,6,1,3,0,0,0.00341358051447465,0.00517562837069972,0.142891818662465,0.370991885084246,0.446150278458027,0,1
4,6,1,4,0,0,0.00589494936993938,0.00749381381088323,0.130481084308773,0.192499658743917,0.791768470772256,0,1
4,6,1,5,0,0,0.00048894504376632,0.00325102027735781,0.0721552717333774,0.17617301188487,0.0634218173626082,0,1
4,6,1,6,0,0,0.00028802465768833,0.00158297710598043,0.107965619850249,0.845848505368325,0.894056441732026,0,1
4,6,1,7,0,0,0.00360420705384022,0.003735392792965,0.139239792212683,0.759504002984273,0.435440919874364,0,1
4,6,1,8,0,0,0.00640920009999367,0.00787009284039865,0.118724760248663,0.847940410940054,0.875959660623128,0,1
4,6,1,9,0,0,0.00456467643883885,0.00348976666337062,0.113530425925526,0.200166074263626,0.320526677405069,0,1
4,6,1,10,0,0,0.00492038039550456,0.00637219814442117,0.100063124113044,0.730432107764223,0.809895417159692,0,1
4,6,1,11,0,0,0.00423679254797398,0.00699601143500577,0.0752076088666152,0.523253582881303,0.233694141712888,0,1
4,6,1,12,0,0,0.00388721222150541,0.00808202877437541,0.154062540053173,0.869155593400791,0.784720479332266,0,1
4,6,1,13,0,0,0.00288672679980511,0.00437248544665743,0.126750008766222,0.249908534745671,-0.0967584514508753,0,1
4,6,1,14,0,0,0.00334705559221355,0.00607793628235142,0.0977510132666424,-0.485113315645702,0.596218393527402,0,1
4,6,1,15,0,0,0.00102440945257505,0.00242344698648202,0.205619795533696,-0.231869312680444,-0.17243169051575,0,1
4,6,1,16,0,0,0.00200777981852098,0.00428051991787423,0.204978987627528,0.444193545764198,0.597850845912086,0,1
4,7,2,1,0,0,0.00210544944764456,0.00521566723965004,0.328122729588168,-0.13435496705351,-0.431639933578301,0,1
4,7,2,2,0,0,0.00755517925975822,0.00888746978598262,0.144431700207451,-0.157488492198798,-0.322663225277746,0,1
